"17-AAG","AEW541","AZD0530","AZD6244","Erlotinib","Irinotecan","L-685458","LBW242","Lapatinib","Nilotinib","Nutlin-3","PD-0325901","PD-0332991","PF2341066","PHA-665752","PLX4720","Paclitaxel","Panobinostat","RAF265","Sorafenib","TAE684","TKI258","Topotecan","ZD-6474"
1.2846,0.2086,0.3754,0.4582,0.1981,NA,2.2908,0.2256,0,0.1172,0.4677,0.5391,0.3664,0.05411,0.4499,0.1792,5.8226,3.683,0.5931,0.2117,0.4494,0.3913,1.8545,0.8999
2.6091,0.7086,1.8946,0.6753,0.5515,NA,0.4006,1.2891,0.3471,NA,0.1969,0.56,NA,0.2731,0.4523,0.3832,5.4493,2.8148,NA,0.3345,0.4094,0.7068,2.5762,1.5061
2.8103,0.4023,0.4595,0,0.1893,2.4213,0,0.037,0.3181,0.1617,0.09049,0.2342,0.312,0.03085,0.3944,0.01235,2.7161,3.2022,0.2124,0.2041,0,0.2215,0.8191,0.5531
3.8606,1.1557,0.9268,1.4084,0.3449,NA,0,1.6691,0.6883,0.3714,0.5754,1.8382,0.1374,0.6549,1.0101,0.5192,5.2761,4.8063,1.6292,0.827,1.3415,0.8745,2.5426,0.9135
4.1444,1.0001,2.0485,1.6198,2.1,NA,0.2743,0.7285,1.4366,1.0867,0.5461,2.1571,0.3205,1.0815,0.1681,0.2989,6.8819,4.4637,2.0956,0.8092,1.8193,0.8257,4.6446,1.305
4.5797,0.8125,1.6338,0.9032,0.8402,NA,0.09828,0.5034,2.0762,0.5581,0.2675,1.6269,1.2174,0.493,0.2587,0.02614,5.6339,3.7483,1.2052,0.4548,0.5027,0.2642,1.2184,1.3526
4.7694,0.5445,2.2272,0.7347,2.6857,1.7352,0.05828,0,1.9085,0.3039,0,0.7479,0.1876,0.01164,0.1044,0.7655,2.4629,3.8509,1.1716,0,0.9348,0.3062,2.0685,3.2719
3.4326,0.8118,2.3879,0.1997,3.7373,2.5662,0.6167,0.2142,1.8224,0.7678,0.1393,1.7547,0.6659,0.531,0,0.08633,5.8944,3.8515,1.8457,0.3675,1.5185,0.6712,1.7052,3.0689
4.7402,0.9276,0.4591,0.7028,0.1511,NA,0.4521,2.3407,0.1527,NA,0.09813,1.5458,NA,0.2043,1.1856,0.5668,5.8639,4.1851,1.5482,0.5025,1.0325,0.3747,2.2173,0.9367
NA,0.6342,1.1856,3.7803,0.2732,1.8327,NA,0.3968,0.4479,0.09552,0.1928,5.0257,0.3011,0.2215,0.3011,0,4.1463,4.3664,0.5951,0.08142,0.8885,0.191,1.5781,0.7121
3.0273,0.6154,0.571,1.2257,0.3408,2.2185,0,0.426,0.6068,0.09364,0.1437,2.1081,0.0002795,0.2158,0.1703,0.05906,5.4912,4.4205,0.7232,0.5751,0.9657,0.6686,2.4964,0.8561
1.8194,0.3367,0.3899,0.1545,0.02019,NA,0,0.3811,0.07474,0.01119,0.0682,0.3694,0.1592,0.5792,0.7086,0.2376,3.5376,3.9946,0.1753,0,0.8875,0.2193,4.1192,0.5071
3.074,0.8091,2.8997,0,4.4132,NA,0.7494,0.4814,0.956,NA,0,0.7286,NA,0.3058,0.4763,0.3699,4.5217,4.0611,NA,0.5981,1.5033,0.1211,1.736,3.1181
3.4601,0.5664,0.2996,1.9489,0.2184,3.3454,0.05555,0.1936,0.3587,0.2101,0.5542,3.6651,0.1507,0.678,0.6267,0.171,6.4469,4.9122,2.0303,0.8268,1.092,0.6307,3.2013,0.3113
2.6346,1.1814,0.9084,0.6149,0.4596,2.7435,0.01443,1.1051,1.0195,0.6787,0.02414,1.4088,0.2188,0.3213,0.2077,0.1654,3.1674,3.1759,2.4916,1.1377,0.9206,1.1809,2.7169,0.2839
3.7408,1.389,0.5385,2.7557,0.8709,NA,NA,0.4014,0.6625,NA,0.3302,4.6897,NA,0.8361,0.6999,0.7874,6.7594,4.3193,NA,0.9484,1.4183,1.2701,5.7676,0.3995
4.9797,1.0021,2.1889,1.4415,1.6374,3.8757,2.4531,0.8306,2.4691,3.0468,1.6096,3.6834,3.2073,1.0024,1.2229,0.3534,6.3132,4.718,2.0498,0.1197,1.7956,1.6516,3.7682,2.0527
3.7984,0.2402,1.6659,3.233,2.2608,2.922,0.7341,0.5978,1.59,0.6752,0.1366,3.6687,0.6006,0.5081,0.9897,0,6.3134,5.4317,2.8886,0.7036,1.695,1.06,3.6883,2.1857
2.8197,0.8549,1.6748,1.0471,0.1217,NA,0.02586,0.7562,0.1152,0.7392,0.3542,1.652,0.4081,0.2774,0,0.2945,4.9047,4.8108,1.6598,0.6987,0.614,0.8994,2.287,0.4923
2.9013,1.3248,2.6185,2.2178,1.0704,1.4273,1.054,0.6257,0.6192,1.4282,0.1361,2.6065,1.3735,0.7286,0.02138,0.3746,3.9821,4.6043,1.62,0.9618,1.0383,1.218,2.025,1.7224
2.5866,0.8731,1.5751,1.3455,0.7614,1.7593,0.7817,0.2743,0.7347,0.2585,0,1.1822,0,0.03693,0.1203,0.1457,5.4401,3.7871,2.0805,0.5294,0.8138,1.4313,2.833,1.4384
4.6862,0.1955,0.1751,0.07603,0,3.2408,0.06052,0.8957,0.4616,0.5323,0.1335,0.1312,0.07914,0.7284,0.5421,0.215,5.8464,4.4044,2.5085,0.852,0.4049,0.8078,2.7943,0.5306
3.2777,0.1996,0.04556,0.03026,0.05487,3.771,1.0539,0.1996,0,0.1066,0.009183,0.05466,0.1972,0.6056,0.03088,0.1145,3.8476,4.4225,2.0355,0.6413,1.0285,0.3578,3.4251,0.04773
